,address,addressaccuracy,addressnumberandstreet,avgspeed_x,avgspeed_y,block,codesum_x,codesum_y,cool_x,cool_y,date,day,depart_x,depart_y,depth_x,depth_y,dewpoint_x,dewpoint_y,distance,heat_x,heat_y,index,latitude,longitude,month,nummosquitos,preciptotal_x,preciptotal_y,resultdir_x,resultdir_y,resultspeed_x,resultspeed_y,sealevel_x,sealevel_y,snowfall_x,snowfall_y,species_culex_pipiens,species_culex_pipiens/restuans,species_culex_restuans,species_culex_salinarius,species_culex_tarsalis,species_culex_territans,stnpressure_x,stnpressure_y,street,sunrise_x,sunrise_y,sunset_x,sunset_y,tavg_x,tavg_y,tmax_x,tmax_y,tmin_x,tmin_y,trap,water1_x,water1_y,wetbulb_x,wetbulb_y,wnvpresent,year,dist_species_culex_pipiens,dist_species_culex_pipiens/restuans,dist_species_culex_restuans,dist_species_culex_salinarius,dist_species_culex_tarsalis,dist_species_culex_territans
0,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",9,"4100  N OAK PARK AVE, Chicago, IL",6.5,7.4,41,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,1.0508392712200008,0,0,,41.95469,-87.800991,5.0,1,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,1,0,0,0,0,29.39,29.44, N OAK PARK AVE,421,-1,1917,-1,74,77,88,88,60,65,2,-1,-1,65,66,0.0,2007.0,0.0,1.0508392712200008,0.0,0.0,0.0,0.0
1,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",9,"4100  N OAK PARK AVE, Chicago, IL",6.5,7.4,41,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,1.0508392712200008,0,0,,41.95469,-87.800991,5.0,1,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,0,1,0,0,0,29.39,29.44, N OAK PARK AVE,421,-1,1917,-1,74,77,88,88,60,65,2,-1,-1,65,66,0.0,2007.0,0.0,0.0,1.0508392712200008,0.0,0.0,0.0
2,"6200 North Mandell Avenue, Chicago, IL 60646, USA",9,"6200  N MANDELL AVE, Chicago, IL",6.5,7.4,62,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,1.0214934818501615,0,0,,41.994991,-87.769279,5.0,1,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,0,1,0,0,0,29.39,29.44, N MANDELL AVE,421,-1,1917,-1,74,77,88,88,60,65,7,-1,-1,65,66,0.0,2007.0,0.0,0.0,1.0214934818501615,0.0,0.0,0.0
3,"7900 West Foster Avenue, Chicago, IL 60656, USA",8,"7900  W FOSTER AVE, Chicago, IL",6.5,7.4,79,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,0.8224097172657259,0,0,,41.974089,-87.824812,5.0,1,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,1,0,0,0,0,29.39,29.44, W FOSTER AVE,421,-1,1917,-1,74,77,88,88,60,65,15,-1,-1,65,66,0.0,2007.0,0.0,0.8224097172657259,0.0,0.0,0.0,0.0
4,"7900 West Foster Avenue, Chicago, IL 60656, USA",8,"7900  W FOSTER AVE, Chicago, IL",6.5,7.4,79,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,0.8224097172657259,0,0,,41.974089,-87.824812,5.0,4,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,0,1,0,0,0,29.39,29.44, W FOSTER AVE,421,-1,1917,-1,74,77,88,88,60,65,15,-1,-1,65,66,0.0,2007.0,0.0,0.0,0.8224097172657259,0.0,0.0,0.0
5,"1500 West Webster Avenue, Chicago, IL 60614, USA",8,"1500  W WEBSTER AVE, Chicago, IL",6.5,7.4,15,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,1.7064395325421908,0,0,,41.9216,-87.666455,5.0,2,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,0,1,0,0,0,29.39,29.44, W WEBSTER AVE,421,-1,1917,-1,74,77,88,88,60,65,45,-1,-1,65,66,0.0,2007.0,0.0,0.0,1.7064395325421908,0.0,0.0,0.0
6,"2500 West Grand Avenue, Chicago, IL 60654, USA",8,"2500  W GRAND AVE, Chicago, IL",6.5,7.4,25,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,0.35844348483030386,0,0,,41.891118,-87.65449100000002,5.0,1,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,0,1,0,0,0,29.39,29.44, W GRAND AVE,421,-1,1917,-1,74,77,88,88,60,65,46,-1,-1,65,66,0.0,2007.0,0.0,0.0,0.35844348483030386,0.0,0.0,0.0
7,"1100 Roosevelt Road, Chicago, IL 60608, USA",8,"1100  W ROOSEVELT, Chicago, IL",6.5,7.4,11,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,0.4325000308422921,0,0,,41.867108,-87.654224,5.0,1,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,1,0,0,0,0,29.39,29.44, W ROOSEVELT,421,-1,1917,-1,74,77,88,88,60,65,48,-1,-1,65,66,0.0,2007.0,0.0,0.4325000308422921,0.0,0.0,0.0,0.0
8,"1100 Roosevelt Road, Chicago, IL 60608, USA",8,"1100  W ROOSEVELT, Chicago, IL",6.5,7.4,11,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,0.4325000308422921,0,0,,41.867108,-87.654224,5.0,2,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,0,1,0,0,0,29.39,29.44, W ROOSEVELT,421,-1,1917,-1,74,77,88,88,60,65,48,-1,-1,65,66,0.0,2007.0,0.0,0.0,0.4325000308422921,0.0,0.0,0.0
9,"1100 West Chicago Avenue, Chicago, IL 60642, USA",8,"1100  W CHICAGO, Chicago, IL",6.5,7.4,11,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,1.7653591795608734,0,0,,41.896282,-87.655232,5.0,1,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,0,1,0,0,0,29.39,29.44, W CHICAGO,421,-1,1917,-1,74,77,88,88,60,65,49,-1,-1,65,66,0.0,2007.0,0.0,0.0,1.7653591795608734,0.0,0.0,0.0
10,"2100 North Stave Street, Chicago, IL 60647, USA",8,"2100  N STAVE ST, Chicago, IL",6.5,7.4,21,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,0.9516168933198454,0,0,,41.919343,-87.694259,5.0,1,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,1,0,0,0,0,29.39,29.44, N STAVE ST,421,-1,1917,-1,74,77,88,88,60,65,50,-1,-1,65,66,0.0,2007.0,0.0,0.9516168933198454,0.0,0.0,0.0,0.0
11,"2200 North Cannon Drive, Chicago, IL 60614, USA",8,"2200  N CANNON DR, Chicago, IL",6.5,7.4,22,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,1.771748893100298,0,0,,41.921965,-87.632085,5.0,2,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,1,0,0,0,0,29.39,29.44, N CANNON DR,421,-1,1917,-1,74,77,88,88,60,65,54,-1,-1,65,66,0.0,2007.0,0.0,1.771748893100298,0.0,0.0,0.0,0.0
12,"2200 North Cannon Drive, Chicago, IL 60614, USA",8,"2200  N CANNON DR, Chicago, IL",6.5,7.4,22,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,1.771748893100298,0,0,,41.921965,-87.632085,5.0,3,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,0,1,0,0,0,29.39,29.44, N CANNON DR,421,-1,1917,-1,74,77,88,88,60,65,54,-1,-1,65,66,0.0,2007.0,0.0,0.0,1.771748893100298,0.0,0.0,0.0
13,"2200 West 113th Street, Chicago, IL 60643, USA",8,"2200  W 113TH ST, Chicago, IL",6.5,7.4,22,BR HZ,BR HZ,9,12,2007-05-29,29.0,10,-1,0,-1,58,59,1.6651625166241055,0,0,,41.688324,-87.676709,5.0,1,0.00,0.00,18,16,5.8,5.8,30.11,30.09,0.0,-1,0,1,0,0,0,0,29.39,29.44, W 113TH ST,421,-1,1917,-1,74,77,88,88,60,65,86,-1,-1,65,66,0.0,2007.0,0.0,1.6651625166241055,0.0,0.0,0.0,0.0
